Creato|C'è PDF|Papa N°|pagina web del documento|Nome|num Papa|Abbr. Autore|Nome latino|Autore IT|Tipologia-LT|x|Tipo doc|Tipologia-IT|Abbr. Tipologia|N° Doc progressivo|N° Doc x Papa|Titolo|Abbr. Titolo|NOME FILE|Data|condiz|unico doc nella giornata|nome gg|g|m|a|Data 1|Data 2|Data 3|Internal link al file|Sommario ADD per GitHub|Sommario ADD per GitHub PDF|Sommario MOD per GitHub
true|true|255|https://www.vatican.va/content/pius-ix/it/documents/constitutio-dogmatica-dei-filius-24-aprilis-1870.html|Pio|IX|piix|Pius IX|Pio IX|||Costituzione dogmatica|Costituzione dogmatica|cod|250|53|Dei Filius|def|1870-04-24-piix-cod-def-IT|24 aprile 1870|233|Si|Domenica|24|04|1870|24/04/1870|1870/04/24|24 aprile 1870|*[[Documenti pontifici/Costituzioni dogmatiche/1870-04-24-piix-cod-def-IT|@]]*|(Create) Creato il file: Costituzione dogmatica Pio IX (Pius IX): “Dei Filius”, 24 aprile 1870|(Create) Creato il file: Costituzione dogmatica Pio IX (Pius IX): “Dei Filius”, 24 aprile 1870 originale pdf dal sito|(Edit and Update) Modificato ed aggiornato il file: Costituzione dogmatica Pio IX (Pius IX) “Dei Filius”, 24 aprile 1870
true|true|255|https://www.vatican.va/content/pius-ix/it/documents/constitutio-dogmatica-pastor-aeternus-18-iulii-1870.html|Pio|IX|piix|Pius IX|Pio IX|||Costituzione dogmatica|Costituzione dogmatica|cod|252|55|Pastor Aeternus|pae|1870-07-18-piix-cod-pae-IT|18 luglio 1870|235|Si|Lunedì|18|07|1870|18/07/1870|1870/07/18|18 luglio 1870|*[[Documenti pontifici/Costituzioni dogmatiche/1870-07-18-piix-cod-pae-IT|@]]*|(Create) Creato il file: Costituzione dogmatica Pio IX (Pius IX): “Pastor Aeternus”, 18 luglio 1870|(Create) Creato il file: Costituzione dogmatica Pio IX (Pius IX): “Pastor Aeternus”, 18 luglio 1870 originale pdf dal sito|(Edit and Update) Modificato ed aggiornato il file: Costituzione dogmatica Pio IX (Pius IX) “Pastor Aeternus”, 18 luglio 1870
true|true|262|https://www.vatican.va/archive/hist_councils/ii_vatican_council/documents/vat-ii_const_19641121_lumen-gentium_it.html|Paolo|VI|pvi|Paulus VI|Paolo VI|||Costituzione dogmatica|Costituzione dogmatica|cod|2124|346|Lumen Gentium|lug|1964-11-21-pvi-cod-lug-IT|21-nov-1964|1870|No|Sabato|21|11|1964|21/11/1964|1964/11/21|21 novembre 1964|*[[Documenti pontifici/Costituzioni dogmatiche/1964-11-21-pvi-cod-lug-IT|@]]*|(Create) Creato il file: Costituzione dogmatica Paolo VI (Paulus VI): “Lumen Gentium”, 21 novembre 1964|(Create) Creato il file: Costituzione dogmatica Paolo VI (Paulus VI): “Lumen Gentium”, 21 novembre 1964 pdf originale dal sito|(Edit and Update) Modificato ed aggiornato il file: Costituzione dogmatica Paolo VI (Paulus VI) “Lumen Gentium”, 21 novembre 1964
true|true|262|https://www.vatican.va/archive/hist_councils/ii_vatican_council/documents/vat-ii_const_19651118_dei-verbum_it.html|Paolo|VI|pvi|Paulus VI|Paolo VI|||Costituzione dogmatica|Costituzione dogmatica|cod|2392|614|Dei Verbum|dev|1965-11-18-pvi-cod-dev-IT|18-nov-1965|2059|No|Giovedì|18|11|1965|18/11/1965|1965/11/18|18 novembre 1965|*[[Documenti pontifici/Costituzioni dogmatiche/1965-11-18-pvi-cod-dev-IT|@]]*|(Create) Creato il file: Costituzione dogmatica Paolo VI (Paulus VI): “Dei Verbum”, 18 novembre 1965|(Create) Creato il file: Costituzione dogmatica Paolo VI (Paulus VI): “Dei Verbum”, 18 novembre 1965 pdf originale dal sito|(Edit and Update) Modificato ed aggiornato il file: Costituzione dogmatica Paolo VI (Paulus VI) “Dei Verbum”, 18 novembre 1965
