Creato|C'è PDF|Papa N°|pagina web del documento|Nome|num Papa|Abbr. Autore|Nome latino|Autore IT|Tipologia-LT|x|Tipo doc|Tipologia-IT|Abbr. Tipologia|N° Doc progressivo|N° Doc x Papa|Titolo|Abbr. Titolo|NOME FILE|Data|condiz|unico doc nella giornata|nome gg|g|m|a|Data 1|Data 2|Data 3|Internal link al file|Sommario ADD per GitHub|Sommario ADD per GitHub PDF|Sommario MOD per GitHub
true|true|250|https://www.vatican.va/content/pius-vi/it/documents/dichiarazione-perpensis-circumstantiis-10-dicembre-1792.html|Pio|VI|pivi|Pius VI|Pio VI|||Dichiarazione|Dichiarazione|dic|81|19|Perpensis circumstantiis|pec|1792-12-10-pivi-dic-pec-IT|10 dicembre 1792|76|Si|Lunedì|10|12|1792|10/12/1792|1792/12/10|10 dicembre 1792|*[[Documenti pontifici/Dichiarazioni/1792-12-10-pivi-dic-pec-IT|@]]*|(Create) Creato il file: Dichiarazione Pio VI (Pius VI): “Perpensis circumstantiis”, 10 dicembre 1792|(Create) Creato il file: Dichiarazione Pio VI (Pius VI): “Perpensis circumstantiis”, 10 dicembre 1792 pdf originale dal sito|(Edit and Update) Modificato ed aggiornato il file: Dichiarazione Pio VI (Pius VI) “Perpensis circumstantiis”, 10 dicembre 1792
true|true|262|https://www.vatican.va/archive/hist_councils/ii_vatican_council/documents/vat-ii_decl_19651028_gravissimum-educationis_it.html|Paolo|VI|pvi|Paulus VI|Paolo VI|||Dichiarazione|Dichiarazione|dic|2367|589|Gravissimum Educationis|gre|1965-10-28-pvi-dic-gre-IT|28-ott-1965|2043|No|Giovedì|28|10|1965|28/10/1965|1965/10/28|28 ottobre 1965|*[[Documenti pontifici/Dichiarazioni/1965-10-28-pvi-dic-gre-IT|@]]*|(Create) Creato il file: Dichiarazione Paolo VI (Paulus VI): “Gravissimum Educationis”, 28 ottobre 1965|(Create) Creato il file: Dichiarazione Paolo VI (Paulus VI): “Gravissimum Educationis”, 28 ottobre 1965 pdf originale dal sito|(Edit and Update) Modificato ed aggiornato il file: Dichiarazione Paolo VI (Paulus VI) “Gravissimum Educationis”, 28 ottobre 1965
true|true|262|https://www.vatican.va/archive/hist_councils/ii_vatican_council/documents/vat-ii_decl_19651028_nostra-aetate_it.html|Paolo|VI|pvi|Paulus VI|Paolo VI|||Dichiarazione|Dichiarazione|dic|2368|590|Nostra Aetate|noa|1965-10-28-pvi-dic-noa-IT|28-ott-1965|2043|No|Giovedì|28|10|1965|28/10/1965|1965/10/28|28 ottobre 1965|*[[Documenti pontifici/Dichiarazioni/1965-10-28-pvi-dic-noa-IT|@]]*|(Create) Creato il file: Dichiarazione Paolo VI (Paulus VI): “Nostra Aetate”, 28 ottobre 1965|(Create) Creato il file: Dichiarazione Paolo VI (Paulus VI): “Nostra Aetate”, 28 ottobre 1965 pdf originale dal sito|(Edit and Update) Modificato ed aggiornato il file: Dichiarazione Paolo VI (Paulus VI) “Nostra Aetate”, 28 ottobre 1965
true|true|262|https://www.vatican.va/archive/hist_councils/ii_vatican_council/documents/vat-ii_decl_19651207_dignitatis-humanae_it.html|Paolo|VI|pvi|Paulus VI|Paolo VI|||Dichiarazione|Dichiarazione|dic|2407|629|Dignitatis Humanae|dih|1965-12-07-pvi-dic-dih-IT|07-dic-1965|2068|No|Martedì|07|12|1965|07/12/1965|1965/12/07|07 dicembre 1965|*[[Documenti pontifici/Dichiarazioni/1965-12-07-pvi-dic-dih-IT|@]]*|(Create) Creato il file: Dichiarazione Paolo VI (Paulus VI): “Dignitatis Humanae”, 07 dicembre 1965|(Create) Creato il file: Dichiarazione Paolo VI (Paulus VI): “Dignitatis Humanae”, 07 dicembre 1965 pdf originale dal sito|(Edit and Update) Modificato ed aggiornato il file: Dichiarazione Paolo VI (Paulus VI) “Dignitatis Humanae”, 07 dicembre 1965
